row_index,in_roi,roi_width_px,x_scale_m_per_px,y_scale_m_per_px
79,1,644,0.00731181,0.04455794
80,1,645,0.00729347,0.04439593
81,1,648,0.00727481,0.04423392
82,1,650,0.00725391,0.04406410
83,1,651,0.00723578,0.04390400
84,1,653,0.00721503,0.04373418
85,1,654,0.00719739,0.04357694
86,1,657,0.00717980,0.04341970
87,1,659,0.00715928,0.04325370
88,1,660,0.00714184,0.04309741
89,1,662,0.00712183,0.04293331
90,1,664,0.00710189,0.04276922
91,1,666,0.00708760,0.04262741
92,1,668,0.00706780,0.04246427
93,1,670,0.00704844,0.04230399
94,1,671,0.00703137,0.04215342
95,1,673,0.00701215,0.04199314
96,1,675,0.00699812,0.04185610
97,1,677,0.00697904,0.04169677
98,1,679,0.00696035,0.04154126
99,1,680,0.00694395,0.04139451
100,1,682,0.00692506,0.04123899
101,1,685,0.00690880,0.04109415
102,1,686,0.00689323,0.04095121
103,1,688,0.00687457,0.04079760
104,1,690,0.00685630,0.04064590
105,1,692,0.00684309,0.04051363
106,1,694,0.00682526,0.04036384
107,1,696,0.00680720,0.04021405
108,1,697,0.00679168,0.04007493
109,1,699,0.00677406,0.03992704
110,1,701,0.00676142,0.03979858
111,1,703,0.00674362,0.03965165
112,1,705,0.00672620,0.03950568
113,1,706,0.00671128,0.03937037
114,1,708,0.00669399,0.03922629
115,1,711,0.00667918,0.03909194
116,1,712,0.00666473,0.03895853
117,1,714,0.00664793,0.03881637
118,1,716,0.00663090,0.03867516
119,1,717,0.00661661,0.03854367
120,1,720,0.00660210,0.03841217
121,1,721,0.00658791,0.03828163
122,1,723,0.00657172,0.03814518
123,1,725,0.00655501,0.03800684
124,1,726,0.00654129,0.03787820
125,1,729,0.00652733,0.03775147
126,1,731,0.00651110,0.03761503
127,1,732,0.00649753,0.03748926
128,1,734,0.00648170,0.03735568
129,1,737,0.00646796,0.03722990
130,1,738,0.00645455,0.03710604
131,1,740,0.00643890,0.03697341
132,1,742,0.00642358,0.03684269
133,1,743,0.00641006,0.03672073
134,1,746,0.00639713,0.03659876
135,1,747,0.00638396,0.03647776
136,1,749,0.00636860,0.03634800
137,1,751,0.00635357,0.03622014
138,1,752,0.00634058,0.03610104
139,1,755,0.00632790,0.03598193
140,1,757,0.00631329,0.03585694
141,1,758,0.00630017,0.03573784
142,1,760,0.00628568,0.03561379
143,1,762,0.00627099,0.03548975
144,1,764,0.00626077,0.03538131
145,1,766,0.00624616,0.03525822
146,1,768,0.00623188,0.03513514
147,1,769,0.00621959,0.03502175
148,1,771,0.00620542,0.03490057
149,1,773,0.00619540,0.03479499
150,1,775,0.00618133,0.03467476
151,1,777,0.00616731,0.03455549
152,1,778,0.00615550,0.03444402
153,1,781,0.00614349,0.03433254
154,1,783,0.00612987,0.03421613
155,1,784,0.00611820,0.03410561
156,1,786,0.00610444,0.03398919
157,1,788,0.00609099,0.03387373
158,1,790,0.00608133,0.03377197
159,1,792,0.00606818,0.03365746
160,1,793,0.00605674,0.03355076
161,1,795,0.00604348,0.03343720
162,1,797,0.00603004,0.03332365
163,1,799,0.00602103,0.03322475
164,1,801,0.00600790,0.03311310
165,1,803,0.00599507,0.03300241
166,1,804,0.00598366,0.03289666
167,1,806,0.00597115,0.03278787
168,1,809,0.00596005,0.03268402
169,1,810,0.00594921,0.03258114
170,1,812,0.00593663,0.03247235
171,1,814,0.00592407,0.03236452
172,1,815,0.00591336,0.03226353
173,1,818,0.00590292,0.03216255
174,1,819,0.00589228,0.03206252
175,1,821,0.00587991,0.03195564
176,1,823,0.00586759,0.03185067
177,1,825,0.00585908,0.03175748
178,1,827,0.00584684,0.03165251
179,1,828,0.00583663,0.03155534
180,1,829,0.00582645,0.03145722
181,1,830,0.00581611,0.03136005
182,1,832,0.00580795,0.03126972
183,1,833,0.00579789,0.03117350
184,1,834,0.00578785,0.03107824
185,1,835,0.00577785,0.03098202
186,1,836,0.00576790,0.03088676
187,1,838,0.00575990,0.03079930
188,1,839,0.00575019,0.03070499
189,1,840,0.00574014,0.03061068
190,1,841,0.00573051,0.03051732
191,1,842,0.00572092,0.03042492
192,1,844,0.00571289,0.03033746
193,1,845,0.00570353,0.03024601
194,1,846,0.00569384,0.03015457
195,1,847,0.00568438,0.03006312
196,1,848,0.00567486,0.02997215
197,1,850,0.00566716,0.02988660
198,1,851,0.00565780,0.02979705
199,1,852,0.00564847,0.02970704
200,1,853,0.00563925,0.02961797
201,1,854,0.00562999,0.02952891
202,1,856,0.00562244,0.02944574
203,1,857,0.00561333,0.02935763
204,1,858,0.00560416,0.02927000
205,1,859,0.00559511,0.02918237
206,1,861,0.00558782,0.02910111
207,1,862,0.00557884,0.02901443
208,1,863,0.00556981,0.02892775
209,1,864,0.00556097,0.02884202
210,1,865,0.00555207,0.02875629
211,1,867,0.00554485,0.02867600
212,1,868,0.00553610,0.02859122
213,1,869,0.00552730,0.02850693
214,1,870,0.00551861,0.02842263
215,1,871,0.00550996,0.02833881
216,1,873,0.00550295,0.02826090
217,1,874,0.00549435,0.02817755
218,1,875,0.00548579,0.02809469
219,1,876,0.00547725,0.02801277
220,1,877,0.00546882,0.02793038
221,1,879,0.00546194,0.02785390
222,1,880,0.00545363,0.02777294
223,1,881,0.00544522,0.02769151
224,1,882,0.00543684,0.02761055
225,1,883,0.00542862,0.02753055
226,1,885,0.00542188,0.02745549
227,1,886,0.00541371,0.02737596
228,1,887,0.00540551,0.02729691
229,1,888,0.00539734,0.02721786
230,1,890,0.00539083,0.02714377
231,1,891,0.00538271,0.02706519
232,1,892,0.00537469,0.02698757
233,1,893,0.00536664,0.02690995
234,1,894,0.00535868,0.02683233
235,1,896,0.00535228,0.02676014
236,1,897,0.00534437,0.02668347
237,1,898,0.00533649,0.02660680
238,1,899,0.00532864,0.02653061
239,1,900,0.00532081,0.02645490
240,1,902,0.00531460,0.02638414
